Название песни + исполнитель ,Отзыв,Ссылки,Depeche Mode Songs,Отзыв
Johnny Nash - I can see clearly now ,"Я хочу сидеть так с тобой рядом и слушать эту песню. Ты будешь заниматься своими делами, я своими, но мы будем вместе",https://youtu.be/g_rB4v75jqU,,
Roy Orbison - I drove all night ,Чувствительная песня.. как то даже грустно стало:((,https://youtu.be/m5N9IHqqGcA,,
Vaya Con Dios - what's a woman ,"Смысл есть хах. Очень сексуально, беру к себе",https://youtu.be/UepDL4bkgKQ,,
Pretty in pink - if you leave ,Эта так же ко мне),https://youtu.be/fDFmRETqKTs,,
Mflex Sounds feat. Silvia Napoli - The power of pleasure ,"Легко слушать, например, поставить на фон, хоть я и не совсем фанат такого",https://youtu.be/GtyR8w6REXE,,
Группа АНОНС - ОЛЯ и СПИД ,"ахха Мурка, что за советы)), но врать не буду, забавно)",https://youtu.be/kp7GSt_6PkU,,
Шоколад - Елена ,"Вот тут совсем другая история, понравилась",https://youtu.be/av239jgw4Lc,,
Las Ketchup - The Ketchup Song,"Серьезно?? это она.. Одна из самых любимых, вау хаха",https://youtu.be/AMT698ArSfQ,,
Aqua - Around the world ,Хочешь такую же песню запишем? хахах,https://youtu.be/maUPpTiU-mo,,
Aqua - Lollipop,Начало будто гимн Украины)) Они прикольные,https://youtu.be/jc7r_B0ZWDY,,
George Harrison - Got my mind set on you ,Клип конечно шикарный))) Хорошая песня,https://youtu.be/_71w4UA2Oxo,,
Carly Simon -  You're so vain ,"Я поняла одну вещь, чем страрее песня, тем больше она мне нравится",https://youtu.be/3F6VsFau5IA,,
Right Said Fred - I'm too sexy,"Хаххааха Мурка, ты что)) Я думала это я могу что то такое слушать иногда ( в тайне)",https://youtu.be/OxZp4VEopcE,,
The KLF - Last train to Trancentral 12 ,Немного не то,https://youtu.be/_hnYKTys8rU,,
Dusty Springfield - Son of preacher man ,"Даа, мое! ",https://youtu.be/us3AZOVq2g4,,
I can dream about you ,"Расслабляет, Хорошая",https://youtu.be/URpXYu6tIew,,
Nights in white satin - The moody blues ,"Закрываю глаза и погружаюсь в эту атмосферу, мне нравится",https://youtu.be/Mim-vSwhxZI,,
Машина Времени - Костер ,,https://youtu.be/bfarmu6JvrY,,
The Alan Parsons Project - Don't answer me ,,https://youtu.be/JLvFbBR4XOg,,
Electric Light orchestra - Telephone line ,,https://youtu.be/77R1Wp6Y_5Y,,
Queen - Bohemian Rhapsody ,,https://youtu.be/fJ9rUzIMcZQ,,
Styx - Too much time on my hands ,,https://youtu.be/5XcKBmdfpWs,,
Motley Crue - Kickstart my heart ,,https://youtu.be/81UGSwR9qas,,
"Sparks - When do I get to sing ""My way""",,https://youtu.be/dibmVb1hBR4,,
Було скучно ,,https://youtu.be/znaYY2MFJmI?list=PLoVocwR30zAcxW-irwblaf2TROpL_335S,,
Машина времени - Синяя птица ,,https://youtu.be/slMA4KrD4d0,,
Александр Абдулов и Геннадий Гладков - Неаполитанская песня ,,https://youtu.be/S4SatgGwm9Q,,
Jurij Antonov - Зеркало ,,https://youtu.be/TAdIq7lSChA,,
Александр Барыкин - Букет ,,https://youtu.be/G5iAcFKvXQA,,
Игорь Скляр - Суббота есть суббота ,,https://youtu.be/lT9-LZ4eX_U,,
Империя - Поезд на Ленинград ,,https://youtu.be/gwKwtFFU3dQ,,
La Roux - In for the kill,,https://youtu.be/tXtATeQ7GKg,,
"Николай Караченцов, Ирина Уварова - что тебе подарить? ",,https://youtu.be/5LWe65mW2Lk,,
София Ротару - Луна луна ,,https://youtu.be/BCxRwkSUm_s,,
Валентина Легкоступова - Ягода- малина,,https://youtu.be/rysWTJ4hsVw,,
Вячеслав Добрынин - Колдовское озеро ,,https://youtu.be/XrItqT8Oj6o,,
Владимир Кузьмин - Симона ,,https://youtu.be/Ddkphs6b3Dg,,
Владимир Кузьмин - Я не забуду тебя ,,https://youtu.be/v2GrVfLgT38,,
Юрий Антонов - От печали до радости ,,https://youtu.be/TnwYigv_clc,,
Браво - Верю я ,,https://youtu.be/dTzWGeOmb4Q,,
Юрий Визбор - Милая моя ,,https://youtu.be/uaQx4o8kmLM,,
Баллада о книжных детях ,,https://youtu.be/G_gZYebZzKo,,
Дмитрий Маликов - Звезда моя далекая ,,https://youtu.be/nAA4SukkkwI,,
"Он пришел, этот добрый день ",,https://youtu.be/ZfxQhTnpdFs,,
Эдуард Артемьев - Город,,https://youtu.be/bU_UopQUdxc,,
Серый дождь ,,-,,
Монеточка - Я Лиза,,https://youtu.be/PYx-ccjb_ZE,,
Lynyrd Skynyrd - Free Bird,,https://youtu.be/0LwcvjNJTuM,,
Наталья Ветлицкая - Я останусь с тобой ,,https://youtu.be/7BFoSPQeah0,,
LENA - run to me ,,https://youtu.be/SK19CktjQ6g,,
Галина Горбаль - Галя Молода,"Неожиданно)) хаха, но я люблю такие песни, поднимают настроение:)",https://youtu.be/xgv4C2BNDxE?si=qcTLsgbDfuQulMPB,,
Talking Heads - Road to Nowhere,,https://youtu.be/LQiOA7euaYA,,
Belinda Carlisle - Circle in the sand ,,https://youtu.be/9NvUv7OdTQw,,
David Bowie - Ashes to Ashes ,,https://youtu.be/HyMm4rJemtI,,
Fine Young Cannibals - She drives me crazy,,https://youtu.be/UtvmTu4zAMg,,
Gary Moore - Empty rooms ,,https://youtu.be/1uGQjnc9Jsk,,
Icehouse - Hey little girl ,,https://youtu.be/OKDYyFf1s0I,,
Jon Astley - Jane's Getting Serious ,,https://www.youtube.com/watch?v=sNs6X2kBJh8,,
The picture - Hubert Kah,,https://youtu.be/qP2gmpoQdlk,,
Maggie Reilly - Everytime we touch ,,https://youtu.be/hTyCLMA90xM,,
Queen - A kind of magic ,,https://youtu.be/0p_1QSUsbsM,,
A'Studio - Джулия,,https://youtu.be/U83mbvS6BNw,,
Браво - Дорога в облака ,,https://youtu.be/VyS9GKNUsWI,,
Группа ноль - Человек и кошка ,,https://youtu.be/0m2LXBgrEOg,,
The Beatles - Something ,,https://youtu.be/UelDrZ1aFeY,,
Найк Борзов - Верхом на звезде,,https://youtu.be/hz4YfY4agT8?list=RDhz4YfY4agT8,,
Paul McCartney - Hope of Deliverance ,,https://youtu.be/BPJIQhjzR7g,,
Маша и медведи - Любочка,,https://youtu.be/_e0mMPqXgwk?list=RDhz4YfY4agT8,,
Браво - Любите девушки ,,https://youtu.be/qvyLSXGwoMw?list=RDhz4YfY4agT8,,
Мумий Тролль - Это по любви ,,https://youtu.be/OmFFmxdqv-Y?list=RDhz4YfY4agT8,,
Nautilus Pompilius - Дыхание ,,https://youtu.be/RIFokHSOCDs?list=RDhz4YfY4agT8,,
Танцы минус - Половинка ,,https://youtu.be/hqBBM7ioil8?list=RDhz4YfY4agT8,,
Братья Грим - Ресницы ,,https://youtu.be/ZENCTedP0Ec?list=RDhz4YfY4agT8,,
Валерий Сюткин - 7 тысяч над землей ,,https://youtu.be/OHi47Jwq1Sk,,
"Валерий Сюткин - Я то, что надо ",,https://youtu.be/awq0g4RkZDo?list=PL9ZeTVG0hjnTwg8yWk7Y5FDy1hSXDYJey,,
Chaif - Время не ждет ,,https://youtu.be/BHRX1I4d98I,,
Дискотека Авария - Малинки,,https://youtu.be/OHFoSazvV88,,
Асмолов Владимир - Кошечка ,,https://youtu.be/SiUMr9x3qLo,,
Братья Грим - Кустурица ,,https://youtu.be/hLATRbK1MuM,,
The Knack - My Sharona ,,https://youtu.be/bbr60I0u2Ng,,
Candy Dulfer & David A. Stewart - Lily Was Here,,https://youtu.be/86BmSaXZMHw,,
Heart - Alone ,,https://youtu.be/1Cw1ng75KP0,,
Cheap Trick - The Flame ,,https://youtu.be/muhFxXce6nA,,
группа Дорогое удовольствие - Тётя Нюра давай,,https://youtu.be/MA-3CQSffeU,,
Пропаганда - Мелом ,,https://youtu.be/2-qE1a66lLo,,
Сектор газа - Колхозный панк ,"Ты меня удивил, честно хахахаха. Признаю, это очень веселит и даже заводит, в веселом плане",https://youtu.be/Y_KeGVmuvpQ,,
Вадяра Блюз - Есть как есть ,,https://youtu.be/FsaOhHnl8PM,,
Тяжелый день - Сергей Минаев ,,https://youtu.be/nJ2pTlFlMwE,,
КАИР - Девочка самый смак!,,https://youtu.be/fPvFHd-UkvI,,
Электронный мальчик - Дитер Болен не курит ,,https://youtu.be/oq6fzKEPLxM,,
"Екатерина Семенова - Чтоб не пил, не курил",,https://youtu.be/dyJg1vvNEcU,,
Валерий Чистяков - Нам нужен секс ,,https://www.youtube.com/watch?v=-Tf7VW8J8LI,,
Юрий Антонов - От печали до радости ,,https://youtu.be/x3lcVvkNSAo,,
Альфа - Я сделан из такого вещества ,,https://youtu.be/1wJPSSITKZI,,
Александр Яковлев - И я покину суету московских улиц,,https://youtu.be/BbcOg9EpjQo,,
The Alan Persons Project - Old and Wise,,https://youtu.be/FDlDKvidYbk,,
Ария - Потеряный Рай - (2000),,https://youtu.be/MYfSYNgFkfI,,
"Midnight Oil - Beds Are Burning
",,https://youtu.be/ejorQVy3m8E?list=RDcNd4eocq2K0,,
Виктор Цой - Перемен,,https://youtu.be/xcwo9CUXNpY,,
Dancing On My Own (Extended Version),,https://youtu.be/mK23G8IPPJk,,
Eric Clapton - Wonderful Tonight [Lyrics],,"
https://youtu.be/d4_QuMkOdCI",,
Neoton Familia - Ki szol,,https://youtu.be/T0OWIaR5SoQ?si=2eGCp_SlxKYuSqDa,,
Why did you do it just tonight - Modern talking ,,https://youtu.be/NFb7-IhugNo?si=cTUSdYGd0nkLOEgu,,
Stevie Wonder - Ma Cherie Amour,,https://youtu.be/Fb4jguPLceQ?list=PL77007411567F62B7,,
Stevie Wonder - Land of La La,,https://youtu.be/GEre6jxbI-8?list=PL77007411567F62B7,,
London Boys - Love Train ,,https://youtu.be/DuClVITgL_M?si=cBL88tncqjYRs42i,,
Сергей Беликов - Будь за меня спокоен,,https://youtu.be/5ZADeCyJRNQ?si=hKZaiQajGPfUR6Kd,,
Scorpions - Under the same sun,,https://youtu.be/1m3SkA0Gl7Y?si=xQ0m2nvljH-sAXeS,,
Kelly Brown - Only you can ( you make me feel),,https://youtu.be/pg9mBj0M9fg?si=Q-xYLAixgvRvuNIP,,
Billy Ocean - Caribbean Queen (No more love on the run),,https://youtu.be/uxX2gA18grk?si=FT6gHeshH6upc7nO,,
Roxanne - Give a Little Love FULL ,,https://youtu.be/M5nkSqW9PpU?si=z3IZ7xB8ygYetTBp,,
Milli Vanilli - Girl you know it's true ,,https://youtu.be/RdSmokR0Enk,,
MC Hammer - 2 legit 2 quit,,https://youtu.be/wiyYozeOoKs,,
The KLF - Last Train to Trancentral,,https://www.youtube.com/watch?v=pC_zffOenk8,,
Noel - Silent Morning ,,https://youtu.be/bzA6yO7BO10?list=RDbzA6yO7BO10,,
Salt-N-Pepa - Push it ,,https://youtu.be/vCadcBR95oU?list=RDbzA6yO7BO10,,
Technotronic - Pump Up The Jam,,https://youtu.be/9EcjWd-O4jI?list=RDbzA6yO7BO10,,
Gonna Make you Sweat  C&C Music Factory,,https://youtu.be/LaTGrV58wec?list=RDbzA6yO7BO10,,
Haddaway - Rock My Heart ,,https://youtu.be/uOsPIbboJUg?list=RDbzA6yO7BO10,,
Set Adrift On Memory Bliss - PM Dawn ,,https://youtu.be/0AOVf9p9ht4,,
George Michael - Father Figure ,,https://youtu.be/m_9hfHvQSNo?list=RDbzA6yO7BO10,,
Richard Marx - Hazard,,https://youtu.be/gdmHHoI9beM?list=RDbzA6yO7BO10,,
Third World - Now That We Found Love ,,https://youtu.be/_5sA8WKxyjQ,,
The Human League - Don't you Want Me ,,https://youtu.be/uPudE8nDog0?list=RDbzA6yO7BO10,,
Real Life - Send me An Angel ,,https://youtu.be/0R6WIbx8ysE?list=RDbzA6yO7BO10,,
Paul Young - Everytime you go away,,https://youtu.be/nfk6sCzRTbM?list=RDbzA6yO7BO10,,
Savage - Don't cry tonight ,,https://youtu.be/M3rQN82xkUk?list=RDbzA6yO7BO10,,
Captain Hollywood Project - More and More ,,https://youtu.be/V-rS174AUT0?list=RDbzA6yO7BO10,,
No Mercy - Missing ,,https://youtu.be/73NY_bSbgqE?list=RDbzA6yO7BO10,,
Sonique - It Feels So Good ,,https://youtu.be/0CuO2ZpqkBM?list=RDbzA6yO7BO10,,
I will Fly with you - Gigi D'Agostino ,,https://youtu.be/OHZQqGdDIQE?list=RDbzA6yO7BO10,,
К.А.И.Р - Девчонки мандаринки,,https://youtu.be/2aX85H9fRVo,,
"Girl, you are my song - F R David",,https://youtu.be/7LpFMFpxkF0,,
Extreme - More than words,,https://youtu.be/UrIiLvg58SY,,
"Lionel Richie - Say you, say me",,https://youtu.be/9OfoTaLXrUo,,
Natalie Cole - Miss you like crazy,,https://youtu.be/2nR8QbmjM7s,,
Woman in love - Barbra Streisand,,https://youtu.be/Y8dL8Q7_9aY,,
Nancy Sinatra - These Boots Are made for walkin',,https://youtu.be/GM1kzbAgo_E,,
Happy Together - The Turtles,,https://youtu.be/9ZEURntrQOg,,
Tommy James and the Shondells - Crimson & Clover ,,https://youtu.be/XS0niyiKlcw,,
The Animals - House of The Rising Sun,,https://youtu.be/N4bFqW_eu2I,,
The Doobie Brothers - What a Fool Believes,,https://youtu.be/o1BqHjNafRk,,
Steve Winwood - Higher Love,,https://youtu.be/k9olaIio3l8,,
Kim Carnes - Bette Davis Eyes,,https://youtu.be/EPOIS5taqA8,,
Perez Prado - Cherry pink and apple blossom white ,,https://youtu.be/zj64NlRnpDY,,
Savage - Computerized Love ,,https://youtu.be/rvzEB87bdg0,,
June Grand - Shy girl ,,https://youtu.be/aDMTnFn9g5U,,
Black Box - Ride on time,,https://youtu.be/M0quXl_od3g,,
2 UNLIMITED - No limit ,,https://youtu.be/r6FVk2k4qsM,,
Madonna - Don't cry for me Argentina ,,https://youtu.be/KD_1Z8iUDho,,
Somewhere over the rainbow- The wizard of oz,,https://youtu.be/PSZxmZmBfnU,,
Muppet Songs - Mahna Mahna ,,https://youtu.be/TbZ_hTEOKZc,,
Muppet Songs - Elton John and miss Piggy,,https://youtu.be/cCM2ArKVdOo?t=48,,
Elton John - Pocket Man ,,https://youtu.be/CRCRKwXTSuY?list=PLWFF1ssLgyE3Mg9aRr34XxDZ_YPY22HVa,,
Whitney Houston - I will always love you,,https://youtu.be/3JWTaaS7LdU,,
Ice MC - SCREAM ,,https://youtu.be/btst0VEojP4,,
I've MC - Easy to remember ,,https://youtu.be/O3UWO_0roqw,,
"Группа ""Форум"" - Белая ночь ",,https://youtu.be/Jm-7DODaTvU,,
Виктор Салтыков - Островок ,,https://youtu.be/nnSTzbZ4qHk,,
Сектор газа - частушки ,,https://youtu.be/QMA8tcdxA9g,,
Браво - Вася ,,https://youtu.be/43RDuxe7CzM,,
Лунный кот ,,https://youtu.be/ecj0nN2LKhI,,
Мария Ржевская - Когда я стану кошкой ,,https://youtu.be/UZ9ac7vb8-E,,
Hi- fi - А мы любили ,,https://youtu.be/shN7zv0Ffuw?list=RDshN7zv0Ffuw,,
Musia Totibadze - мальчик ,,https://youtu.be/u7oaGISCkDg,,
Vanessa Paradis - Joe Le Taxi,,https://youtu.be/Ulay2FvUEd8,,
Mylene Farmer - Sans contrefacon,,https://youtu.be/uC7rYff565Q,,
Sandra - Around my heart ,,https://youtu.be/3FWF4cI6dME,,
DURI DURI - CLICK!,,https://youtu.be/F-57bg3fHB4,,
Vamos a la playa - righeira,,https://youtu.be/y0dPcjL5tBM,,
Валерий Меладзе - Девушка из высшего общества ,,https://youtu.be/sHEf4ETAJR0,,
Laid Back - High Society girl ,,https://youtu.be/F41Shch3580,,
Human League - Don't you want me ,,https://youtu.be/zM_T4wYZg0k,,
Den Harrow - Don't break my heart ,,https://youtu.be/1inAbFtQvUg,,
Kaleida - Take me to the river ,,https://youtu.be/SgSE0A_GaTM,,
Tony Esposito - Kalimba De Luna ,,https://youtu.be/DeG-g0xcUn4,,
Animation- Strange Behavior ,,https://youtu.be/KrkUFueXuHI,,
Межпланетный рынок животных - Александр Зацепин,,https://youtu.be/u4dqhDwcNjM?t=525,,
Jon Astley - The menu,,https://youtu.be/dDQND-YNkA4,,
C. C. Catch - Tears won't wash away my heartache,,https://youtu.be/mCLSMIROO1s,,
Blue System - My bed is too big,,https://youtu.be/pDzZj3-7-r4,,
Modern Talking - heaven will know ,,https://youtu.be/k0tUDtdS77o,,
Secret Service - Do you remember ,,https://youtu.be/DiW7Aigtum8,,
Secret Service - How I want you ,,https://youtu.be/hvQyg7v0GgI,,
Лучшие песни Secret Service ,,https://youtu.be/s__CHNUHD7I,,
Magazine 60- Pancho Villa,,https://youtu.be/KOMpA_nRKzo,,
69- Microlovr,,https://youtu.be/Z68JHf6tsOQ,,
Jessica Jay - Casablanca,,https://youtu.be/YFlIGdis77U,,
Miko Mission - The world is you ,,https://youtu.be/wfwHFTso-nQ,,
Righeira Vamos a la playa,,https://youtu.be/sTsVJ1PsnMs,,
Men at work - Down Under,,https://youtu.be/XfR9iY5y94s,,
Billy Joel - We didn't start the fire ,,https://youtu.be/eFTLKWw542g,,
Madonna - Like a Prayer,,https://youtu.be/79fzeNUqQbQ,,
Berlin - Take my Breath Away,,https://youtu.be/Bx51eegLTY8,,
a-ha - Take on me ,,https://youtu.be/djV11Xbc914,,
Procol Harum - A Whiter Shade Of Pale ,,https://youtu.be/z0vCwGUZe1I,,
The moody blues - nights in white satin ,,https://youtu.be/066HZlam91Y,,
Sting - Shape Of My Heart,,https://youtu.be/dOjFcx3GJHg,,
Richard Marx - Right Here Waiting ,,https://youtu.be/lyGQD1cH4xI,,
Alannah Myles - Black Velvet,,https://youtu.be/ZHHEmd5mECY,,
Bonnie Tyler - Total Eclipse of the heart ,,https://youtu.be/fSeFxzeo5Ts,,
Harry Nilsson - Without You ,,https://youtu.be/8dnUv3DUP4E,,
Eric Carmen - All by myself,,https://youtu.be/iN9CjAfo5n0,,
Kansas - Dust in the Wind ,,https://youtu.be/tH2w6Oxx0kQ,,
Neil Young - Heart Of Gold ,,https://youtu.be/c7eB7Wns1-M,,
Nazareth - Love Hurts ,,https://youtu.be/TyCPfdu1HoA,,
T'AS LE LOOK COCO LAROCHE VALMONT,,https://youtu.be/stb2LBFwa0I,,
Modern talking - One in a million ,,https://youtu.be/AqiKf57yZJM,,
Bad Boys Blue - Lady Blue,,https://youtu.be/VFpvWBLHgM4,,
Project - RomRec,,https://youtu.be/HXGgDSd4CZM?list=OLAK5uy_l4gJrwcxC-Qv_HPCEkJBYuaecZkjfNLxw,,
Вспышка - Капли вдоль,,https://youtu.be/5wiO00iyIv8,,
Orchestral Manoeuvres In The Dark - If you Leave ,,https://youtu.be/EPmTGFg06zA,,
Simple Minds - Don't you (Forget about me),,https://youtu.be/CdqoNKCCt7A,,
SKOOKINY DETI - Мокрые ночи,,https://www.youtube.com/watch?v=-Ep82XtJAiQ,,
Joe Cocker - With A Little Help From My Friends ,,https://youtu.be/l99DVq37LZg?list=PLjb5kMzP2zonqgb8BMTrnhyOt_mBOYQ9i,,
Jutie London - Cry Me A River,,https://youtu.be/gCGNYJOrebA,,
Peggy Lee - Fever,,https://youtu.be/JBANWpzsHts,,
Bill Withers - Lean on Me,,https://youtu.be/fOZ-MySzAac,,
Saphir - Shot in the night ,,https://youtu.be/98qad_1lPiI,,
Noel - Like a child ,,https://youtu.be/NscNFTWzvJg,,
Al Corley - Square Rooms,,https://youtu.be/mGfMAZ4RXB8,,
Cutting Crew - (I just) Died in your arms ,,https://youtu.be/rrJky8YuTr4,,
Fancy- Viva La Vida,,https://youtu.be/urvAY8aCGg8,,
The perfect day - Fischer - Z,,https://youtu.be/OyAcK3Jahn8,,
The Cult - Edie ( Ciao Baby),,https://youtu.be/soGVAAZHbu0,,
Warrant - Heaven ,,https://youtu.be/gGa3nd0lqQg,,
Warrant - Cherry Pie,,https://youtu.be/XJ8dhKOA2kY,,
Exile - kiss you all over,,https://youtu.be/8GymGszRFN8,,
Def Leppard - Love Bites ,,https://youtu.be/pxRHH5X0nIc,,
Sombarai - Mathias Duplessy,,https://youtu.be/MMK7ufeBOmg,,
Katya Celebrine & Maxim Nazarov- Светотень,,https://youtu.be/F2iFQFk3CT0,,
Гипнобаза - Драма,,https://youtu.be/u3jPrZFkkLU,,
Amethyst Flame - Голос,,https://youtu.be/ksHkZCAMDNc,,
Гипнобаза - Беспилотный мир,,https://youtu.be/Uk1-NT91llM,,
Makmyorfi - Яна - Ваня ,,https://www.youtube.com/watch?v=YdrwoCM_MJ0,,
Race to Space - Будем как Солнце,,https://youtu.be/3dSkYDiN_RI,,
Семен Слепаков - Жопа растет ,,https://youtu.be/gv27WYzz7IY?t=26,,
Семен Слепаков - Курица ,,https://www.youtube.com/watch?v=rmBkGRGQSJw,,
"…опа есть, а слова нет ",,https://youtu.be/94_-EhYJqZ8,,
Silicon Dream - Andromeda,,https://youtu.be/qBrjysAxwo0,,
Jazzdauren - Дарите женщинам цветы ,,https://youtu.be/bdGOGqkN6Po,,
Отпетые Мошенники- Девушки бывают разные ,,https://www.youtube.com/watch?v=fW68oWV9uE4,,
Zemfira - Созрела,,https://youtu.be/czFPjG0KRY0,,
Отпетые Мошенники - Люби Меня люби ,,https://youtu.be/XOoNJPLlKjY,,
Roxanne - Charlene ,,https://youtu.be/DfMotpCOWTI,,
Chris Norman - Hunters Of the night maxi,,https://youtu.be/WHlb_W6GjK4?list=RDDfMotpCOWTI,,
Koto Visitors ,,https://youtu.be/GubZD0IfWvI?list=RDDfMotpCOWTI,,
Sandra - Little girl,,https://youtu.be/MhytRCMN0ko,,
Sandra - Everlasting Love,,https://youtu.be/_Ry7ISzD2xA?list=RDDfMotpCOWTI,,
Silver Pozzoli - Around my dream ,,https://youtu.be/Z5tqN2RkYo8?list=RDDfMotpCOWTI,,
Take me up - Scotch,,https://youtu.be/f0dlwUKCt8A?list=RDDfMotpCOWTI,,
"Linda Jo Russo - You're my first, you're my last ",,https://youtu.be/_kX0_fJ1N8M?list=RDDfMotpCOWTI,,
Bad Boys Blue - A Train to Nowhere,,https://youtu.be/pqePJb2dZ-0?list=RDDfMotpCOWTI,,
Erasure- Ship of Fools,,https://youtu.be/ekc_aR5LyAk,,
Men at work - Who can it be now?,,https://youtu.be/SECVGN4Bsgg?list=PLgaFNC_I_Zkk_4YGBK1Yg2zmI55pdS5FU,,
Kim Wilde - You keep me Hanging On,,https://youtu.be/I_3gLp6k7ZE,,
Toto- Hold The Line,,https://youtu.be/htgr3pvBr-I,,
Dire Straits- Sultans Of Swing ,,https://youtu.be/h0ffIJ7ZO4U,,
ZZ Top - Sharp Dressed Man,,https://youtu.be/7wRHBLwpASw,,
Pete Shelley Telephone Operator ,,https://youtu.be/MA5oz8b3UJM,,
The Alan Parsons Project - Eye in the Sky,,https://youtu.be/56hqrlQxMMI,,
Деревянные киты - Не помню не слышу ,,https://youtu.be/NYVeTyUZY_g,,
Вспышка - Сатурн ,,https://youtu.be/Oj75jEhKS0Q,,
Аура - Канон,,https://youtu.be/JLRrAqSSCjI,,
Удары синтезаторов - Предчувствие космоса ,,https://youtu.be/Kjxs_pXFOb4,,
Наукоград - Мечты ,,https://youtu.be/x7xevAPdPMU,,
BrainStorm - Ветер,,https://youtu.be/I42-CayHVnA,,
BrainStorm - Maybe,,https://youtu.be/J-CmEbXH90M,,
Johnny Cash - Personal Jesus,,https://youtu.be/K3QDDlWmR9Q,,
Sasha - Golden Arm ,,https://youtu.be/gFzT64jrj0w,,
Горячие головы - Бананылопалабомба,,https://youtu.be/crIyYHgJ984,,
Kino - Кончится лето ,,https://youtu.be/8L9twaOEYhY,,
Alyne - Over the sky,,https://youtu.be/zAF00udvNVc,,
AirPlay - For your love ,,https://youtu.be/LIo9mZPqOlM,,
Taylor Dayne - Tell it to My Heart,,https://youtu.be/OtXIsUjDOk8,,
Sonique - Sky,,https://youtu.be/7hY-BSpANyw,,
September - Cry for you,,https://youtu.be/hdIV_3IOQlM,,
Sonique- It Feels So Good,,https://youtu.be/0bcYxH65kSg,,
The Beloved - Sweet Harmony ,,https://youtu.be/rP9Z5Pc8cRM,,
La Roux - I'm not your toy,,https://youtu.be/ew_c5ewoVQk,,
La Roux - Quicksand ,,https://youtu.be/kErEUhlPoMU,,
Republica - Drop Dead Gorgeous ,,https://youtu.be/xRtFnxwmM3M,,
Pulp - Common People ,,https://youtu.be/dxhQiiNJG74,,
The cardigans - My favourite game ,,https://youtu.be/u9WgtlgGAgs,,
The cardigans - Erase ,Your favourite ❤️,https://youtu.be/6WOYnv59Bi8,,
Soul Asylum - Runaway Train ,,https://youtu.be/NRtvqT_wMeY,,
Mr Big - To be with you,,https://youtu.be/L6-uJLteKek,,
Bjorn Skifs - Hooked on a feeling ,,https://youtu.be/7q0UTFq-o-o,,
King Harvest - Dancing in the Moonlight ,,https://youtu.be/0eHBLHVHjWg,,
Norman Greenbaum - Spirit in the sky,,https://youtu.be/xi_3GtQN2IA,,
Cheap Trick - If you want my love ,,https://youtu.be/Zzew738f5TA,,
Cheap Trick - The Flame ,,https://youtu.be/2u6uXuT9pm4,,
Corey Hart - Sunglasses at night ,,https://youtu.be/56HSPQHSqEE,,
Pat Benatar - Invincible ,,https://youtu.be/5A4xBp2rizQ,,
Steve - Winwood - Higher love,,https://youtu.be/1KEDrIrDFwA,,
Foreigner - Say you will,,https://youtu.be/5atiLWT4emI,,
John Waite - Missing you ,,https://youtu.be/Tg7vvmlrRzc,,
Carrie - Europe ,Your favourite ❤️,https://youtu.be/MkgJ8rXZGXA,,
Melanie C - I turn to you ,,https://youtu.be/8E7yYNGIKvk,,
X- Perience - A Neverending Dream ,,https://youtu.be/xy4qkciGLYY,,
Tori Amos - Crucify,,https://youtu.be/9ipCKIxdHTs?list=RD9ipCKIxdHTs,,
Kylie Minogue - Confide in me ,,https://youtu.be/WSFDCmmsqEI,,
Kylie Minogue - Fever,,https://youtu.be/1ELTGmex01w?list=PLlq7Qg7QtlOHRekzGA1ecWd3liIn1RY5M,,
YES - Owner of a lonely Heart,,https://youtu.be/SVOuYquXuuc,,
Love and Rockets - So Alive,,https://youtu.be/-L41MhFPU9s,,
Деревянные киты - Не помню не слышу,,https://www.youtube.com/watch?v=NYVeTyUZY_g,,
Crossroads - Diamond rain ,,https://youtu.be/Tr-ioGo6lU8,,
The Pretenders - I'll stand by you ,,https://www.youtube.com/watch?v=nobHZ3nOp38,,
Foreigner - Waiting for a girl like you ,,https://www.youtube.com/watch?v=RIdfPBmUAXc,,
Double - The captain of her heart ,,https://youtu.be/WvVv8R--6TQ,,
Jackson Browne - Somebody's Baby ,,https://youtu.be/KMeQ3LxA30k,,
Peter Gabriel - In your eyes ,,https://youtu.be/8N6G0RVeFBQ,,
Benny Mardones - Into the night ,,https://youtu.be/-9URZgAqeqo,,
Mike + The mechanics - All I need is a miracle ,,https://youtu.be/rlm-SlJOhwg?si=paFo6NMvFpETq9fM,,
Daryl Hall & John Oates - Kiss on my list ,,https://youtu.be/YOuhYuZLNYw,,
REO Speedwagon - Keep on loving you ,,https://youtu.be/XKc7z-enzmA,,
REO Speedwagon - Can't fight this feeling ,,https://youtu.be/z_WYwfrMFko,,
Marx & Spencer - Stay,,https://youtu.be/B-mzkHzQ0_c?si=iKRJFx9pgYYIUkqW,,
3 Doors Down - Here without you ,,https://youtu.be/kPBzTxZQG5Q,,
U2 - With or without you ,,https://youtu.be/ujNeHIo7oTE,,
Beverley Craven - Promise me ,,https://youtu.be/EmTBKbyaEjU?list=PLBii4mTslcncHD6PrsFYkPi8kkfvn-DEE,,
Ten Sharp - You ,,https://youtu.be/SZQpVX8RIZY?list=PLBii4mTslcncHD6PrsFYkPi8kkfvn-DEE,,
The Farm - All together now ,,https://youtu.be/iRgtzZ-mOQo?list=PLBii4mTslcncHD6PrsFYkPi8kkfvn-DEE,,
